Date,Open,High,Low,Close,Volume,Adj Close
2007-10-11,169.49,171.88,153.21,162.23,58714000,156.86
2007-10-12,163.01,167.28,161.8,167.25,35292000,161.72
2007-10-15,167.98,169.57,163.5,166.98,38497500,161.45
2007-10-16,165.54,170.18,165.15,169.58,38136800,163.97
2007-10-17,172.69,173.04,169.18,172.75,40271900,167.03
2007-10-18,171.5,174.19,171.05,173.5,29417000,167.76
2007-10-19,174.24,174.63,170.0,170.42,46135000,164.78
2007-10-22,170.35,174.9,169.96,174.36,58910700,168.59
2007-10-23,188.56,188.6,182.76,186.16,64113000,180.0
2007-10-24,185.81,187.21,179.24,185.93,46017200,179.78
2007-10-25,184.87,185.9,181.66,182.78,34771500,176.73
2007-10-26,185.29,185.37,182.88,184.7,25219800,178.59
2007-10-29,185.45,186.59,184.7,185.09,19305500,178.96
2007-10-30,186.18,189.37,184.73,187.0,33550500,180.81
2007-10-31,187.63,190.12,184.95,189.95,29761100,183.66
2007-11-01,188.6,190.1,180.0,187.44,28751300,181.24
2007-11-02,189.21,189.44,183.49,187.87,35789800,181.65
2007-11-05,185.29,188.96,184.24,186.18,28720600,180.02
2007-11-06,187.05,192.0,185.27,191.79,34097400,185.44
2007-11-07,190.61,192.68,186.13,186.3,35473400,180.13
2007-11-08,186.67,186.9,167.77,175.47,67458500,169.66
2007-11-09,171.15,175.12,165.21,165.37,54458700,159.9
2007-11-12,165.28,167.7,150.63,153.76,63057700,148.67
2007-11-13,160.85,170.98,153.76,169.96,62034100,164.34
2007-11-14,177.16,177.57,163.74,166.11,51695400,160.61
2007-11-15,166.39,169.59,160.3,164.3,53095600,158.86
2007-11-16,165.3,167.02,159.33,166.39,49391300,160.88
2007-11-19,166.1,168.2,162.1,163.95,41196800,158.52
2007-11-20,165.67,171.79,163.53,168.85,55130100,163.26
2007-11-21,165.84,172.35,164.67,168.46,43493200,162.89
2007-11-23,172.0,172.05,169.75,171.54,16634200,165.86
2007-11-26,173.59,177.27,172.35,172.54,46634100,166.83
2007-11-27,175.22,175.79,170.01,174.81,47036800,169.03
2007-11-28,176.82,180.6,175.35,180.22,41104000,174.26
2007-11-29,179.43,185.17,179.15,184.29,37533100,178.19
2007-11-30,187.34,187.7,179.7,182.22,42421500,176.19
2007-12-03,181.86,184.14,177.7,178.86,34338200,172.94
2007-12-04,177.15,180.9,176.99,179.81,27635700,173.86
2007-12-05,182.89,186.0,182.41,185.5,31871500,179.36
2007-12-06,186.19,190.1,186.12,189.95,32136100,183.66
2007-12-07,190.54,194.99,188.04,194.3,38073800,187.87
2007-12-10,193.59,195.66,192.69,194.21,25799200,187.78
2007-12-11,194.75,196.83,187.39,188.54,39675900,182.3
2007-12-12,193.44,194.48,185.76,190.86,43773600,184.54
2007-12-13,190.19,192.12,187.82,191.83,30879200,185.48
2007-12-14,190.37,193.2,189.54,190.39,24082600,184.09
2007-12-17,190.72,192.65,182.98,184.4,36596200,178.3
2007-12-18,186.52,187.33,178.6,182.98,43664400,176.92
2007-12-19,182.98,184.64,180.9,183.12,29552800,177.06
2007-12-20,185.43,187.83,183.33,187.21,27644900,181.01
2007-12-21,190.12,193.91,189.89,193.91,35498600,187.49
2007-12-24,195.03,199.33,194.79,198.8,17150100,192.22
2007-12-26,199.01,200.96,196.82,198.95,25133300,192.37
2007-12-27,198.95,202.96,197.8,198.57,28411700,192.0
2007-12-28,200.59,201.56,196.88,199.83,24987400,193.22
2007-12-31,199.5,200.5,197.75,198.08,19261900,191.53
2008-01-02,199.27,200.26,192.55,194.84,38542100,188.39
2008-01-03,195.41,197.39,192.69,194.93,30073800,188.48
2008-01-04,191.45,193.0,178.89,180.05,51994000,174.09
2008-01-07,181.25,183.6,170.23,177.64,74006900,171.76
2008-01-08,180.14,182.46,170.8,171.25,54422000,165.58
2008-01-09,171.3,179.5,168.3,179.4,64781500,173.46
2008-01-10,177.58,181.0,175.41,178.02,52963400,172.13
2008-01-11,176.0,177.85,170.0,172.69,44010200,166.98
2008-01-14,177.52,179.42,175.17,178.78,39301800,172.86
2008-01-15,177.72,179.22,164.66,169.04,83688500,163.45
2008-01-16,165.23,169.01,156.7,159.64,79065900,154.36
2008-01-17,161.51,165.36,158.42,160.89,62780700,155.57
2008-01-18,161.71,165.75,159.61,161.36,61583700,156.02
2008-01-22,148.06,159.98,146.0,155.64,86955500,150.49
2008-01-23,136.19,140.0,126.14,139.07,120463200,134.47
2008-01-24,139.99,140.7,132.01,135.6,71638100,131.11
2008-01-25,138.99,139.09,129.61,130.01,55526400,125.71
2008-01-28,128.16,133.2,126.45,130.01,52673000,125.71
2008-01-29,131.15,132.79,129.05,131.54,39285100,127.19
2008-01-30,131.37,135.45,130.0,132.18,44394700,127.81
2008-01-31,129.45,136.65,129.4,135.36,48059800,130.88
2008-02-01,136.24,136.59,132.18,133.75,36098000,129.32
2008-02-04,134.21,135.9,131.42,131.65,32115500,127.29
2008-02-05,130.43,134.0,128.9,129.36,40751500,125.08
2008-02-06,130.83,131.92,121.77,122.0,56188300,117.96
2008-02-07,119.97,124.78,117.27,121.24,74404700,117.23
2008-02-08,122.08,125.7,121.6,125.48,48427600,121.33
2008-02-11,128.01,129.98,127.2,129.45,42908300,125.17
2008-02-12,130.7,131.0,123.62,124.86,43785000,120.73
2008-02-13,126.68,129.78,125.63,129.4,34590500,125.12
2008-02-14,129.4,130.8,127.01,127.46,34074900,123.24
2008-02-15,126.27,127.08,124.06,124.63,32189300,120.51
2008-02-19,125.99,126.75,121.44,122.18,35894500,118.14
2008-02-20,122.2,124.6,121.68,123.82,34551400,119.72
2008-02-21,126.05,126.47,120.86,121.54,33504100,117.52
2008-02-22,122.48,122.51,115.87,119.46,54638500,115.51
2008-02-25,118.59,120.17,116.66,119.74,44884800,115.78
2008-02-26,117.64,121.09,115.44,119.15,53746000,115.21
2008-02-27,118.23,123.05,118.09,122.96,52683500,118.89
2008-02-28,127.2,132.2,125.77,129.91,57794800,125.61
2008-02-29,129.29,130.21,124.8,125.02,44838600,120.88
2008-03-03,124.44,125.98,118.0,121.73,56894400,117.7
2008-03-04,121.99,124.88,120.4,124.62,63763700,120.5
2008-03-05,123.58,125.14,122.25,124.49,43637000,120.37
2008-03-06,124.61,127.5,120.81,120.93,52632100,116.93
2008-03-07,120.41,122.98,119.05,122.25,43945100,118.2
2008-03-10,121.98,123.46,119.37,119.69,35699600,115.73
2008-03-11,124.1,127.48,122.0,127.35,41569400,123.14
2008-03-12,127.04,128.68,125.17,126.03,37843900,121.86
2008-03-13,124.1,129.5,123.0,127.94,45075100,123.71
2008-03-14,129.88,130.3,124.2,126.61,41308600,122.42
2008-03-17,122.55,128.59,122.55,126.73,38307100,122.54
2008-03-18,129.18,133.0,128.67,132.82,43040000,128.42
2008-03-19,133.12,134.29,129.67,129.67,36090600,125.38
2008-03-20,131.12,133.29,129.18,133.27,32456700,128.86
2008-03-24,134.01,140.85,133.64,139.53,38104300,134.91
2008-03-25,139.96,143.1,137.33,140.98,37585400,136.31
2008-03-26,140.87,145.74,140.64,145.06,42217300,140.26
2008-03-27,144.95,145.31,139.99,140.25,35708200,135.61
2008-03-28,141.8,144.65,141.6,143.01,25521800,138.28
2008-03-31,143.27,145.71,142.52,143.5,27430900,138.75
2008-04-01,146.3,149.66,143.61,149.53,36877400,144.58
2008-04-02,148.78,151.2,145.85,147.49,37320300,142.61
2008-04-03,147.06,153.63,147.0,151.61,37556000,146.59
2008-04-04,152.19,154.71,150.75,153.08,30514900,148.01
2008-04-07,156.13,159.69,155.11,155.89,41368800,150.73
2008-04-08,153.55,156.45,152.32,152.84,36224800,147.78
2008-04-09,153.31,153.89,150.46,151.44,31192800,146.43
2008-04-10,151.13,155.42,150.6,154.55,34134400,149.44
2008-04-11,152.72,153.3,146.4,147.14,43217000,142.27
2008-04-14,146.77,149.25,144.54,147.78,30181700,142.89
2008-04-15,149.4,149.72,145.72,148.38,24929900,143.47
2008-04-16,151.72,154.1,150.62,153.7,28420500,148.61
2008-04-17,154.17,156.0,153.35,154.49,25152400,149.38
2008-04-18,159.12,162.26,158.38,161.04,36670200,155.71
2008-04-21,162.21,168.5,161.76,168.16,37112600,162.6
2008-04-22,167.4,168.0,158.09,160.2,51413300,154.9
2008-04-23,164.05,164.84,161.08,162.89,53721100,157.5
2008-04-24,165.34,169.98,159.19,168.94,60573800,163.35
2008-04-25,170.7,171.1,166.42,169.73,35445500,164.11
2008-04-28,169.75,173.75,169.13,172.24,28114800,166.54
2008-04-29,171.11,175.66,170.25,175.05,32981300,169.26
2008-04-30,176.19,180.0,172.92,173.95,40697300,168.19
2008-05-01,174.96,180.0,174.86,180.0,32270600,174.04
2008-05-02,180.19,181.92,178.55,180.94,35931500,174.95
2008-05-05,181.92,185.31,181.05,184.73,30519900,178.62
2008-05-06,184.66,187.12,182.18,186.66,32816800,180.48
2008-05-07,186.05,188.2,180.54,182.59,41326200,176.55
2008-05-08,183.77,186.5,183.07,185.06,32110200,178.94
2008-05-09,183.16,184.25,181.37,183.45,24038300,177.38
2008-05-12,185.21,188.87,182.85,188.16,29234400,181.93
2008-05-13,188.61,191.45,187.86,189.96,29401300,183.67
2008-05-14,191.23,192.24,185.57,186.26,32743700,180.1
2008-05-15,186.81,189.9,184.2,189.73,31186000,183.45
2008-05-16,190.11,190.3,187.0,187.62,27348900,181.41
2008-05-19,187.86,188.69,181.3,183.6,33779300,177.52
2008-05-20,181.82,186.16,180.12,185.9,34637500,179.75
2008-05-21,185.67,187.95,176.25,178.19,41344900,172.29
2008-05-22,179.26,181.33,172.0,177.05,43097700,171.19
2008-05-23,180.77,181.99,177.8,181.17,32389900,175.17
2008-05-27,182.75,186.43,181.84,186.43,28210900,180.26
2008-05-28,187.41,187.95,183.72,187.01,26570700,180.82
2008-05-29,186.76,188.2,185.5,186.69,23113800,180.51
2008-05-30,187.45,189.54,187.38,188.75,21792300,182.5
2008-06-02,188.6,189.65,184.53,186.1,24280000,179.94
2008-06-03,186.86,188.2,182.34,185.37,26804300,179.24
2008-06-04,184.02,187.09,183.23,185.19,25963700,179.06
2008-06-05,186.34,189.84,185.7,189.43,26980200,183.16
2008-06-06,188.0,189.95,185.55,185.64,34438700,179.5
2008-06-09,184.79,184.94,175.75,181.61,67442600,175.6
2008-06-10,180.51,186.78,179.02,185.64,40728600,179.5
2008-06-11,184.34,186.0,179.59,180.81,34341100,174.83
2008-06-12,181.49,182.6,171.2,173.26,46726200,167.53
2008-06-13,171.64,174.16,165.31,172.37,48069900,166.67
2008-06-16,171.3,177.9,169.07,176.84,37561800,170.99
2008-06-17,178.1,181.99,177.41,181.43,32130600,175.43
2008-06-18,181.12,182.2,177.35,178.75,28981000,172.83
2008-06-19,178.55,182.34,176.8,180.9,28283900,174.91
2008-06-20,179.35,181.0,175.0,175.27,31727400,169.47
2008-06-23,174.74,175.88,171.56,173.16,23063600,167.43
2008-06-24,172.37,175.78,171.63,173.25,22212400,167.52
2008-06-25,174.61,178.83,173.88,177.39,23016100,171.52
2008-06-26,174.07,174.84,168.01,168.26,31057500,162.69
2008-06-27,166.51,170.57,164.15,170.09,37223200,164.46
2008-06-30,170.19,172.0,166.62,167.44,24435600,161.9
2008-07-01,164.23,174.72,164.0,174.68,39688600,168.9
2008-07-02,175.2,177.45,168.18,168.18,29911400,162.61
2008-07-03,169.59,172.17,165.75,170.12,18691500,164.49
2008-07-07,173.16,177.13,171.9,175.16,29299700,169.36
2008-07-08,175.4,179.7,172.74,179.55,31726800,173.61
2008-07-09,180.2,180.91,174.14,174.25,31992000,168.48
2008-07-10,174.92,177.34,171.37,176.63,30024600,170.78
2008-07-11,175.47,177.11,171.0,172.58,33214700,166.87
2008-07-14,179.24,179.3,173.08,173.88,31644800,168.13
2008-07-15,172.48,173.74,166.39,169.64,37144400,164.03
2008-07-16,170.2,172.93,168.6,172.81,26706800,167.09
